"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"17485649",0.986045297935427,1.3684890950494,1.46715065402715,1.44043639077219,1.26763467511537,1.44038696347863,1.49564523746474,2.51923736120407,1.88964000815687,1.13524391235138,1.86099467483881,1.18720768429814,1.63783570880725,2.47124470254345,1.11797189138299,2.14083643199183,1.18622770520092,1.36483255686855,1.10711692834602,2.03769086308241,1.17606118518171
"17303147",1.64523536728639,1.32617161336733,1.43055702636381,1.74703170634336,1.58351643564556,1.97415962999732,1.75694134219656,1.62651173205832,1.54508698547345,1.61419178726625,1.61599758441484,1.95587677106901,1.923583327629,2.27180186586827,1.91105712175812,1.96790769711096,1.48422147786898,1.69933280061245,2.45404517038416,2.19391345055674,2.13019520316101
"17481188",2.47371153123801,2.06729978887298,2.82195719137561,2.75277703329934,2.90334883849513,2.98899175355725,2.91967192257964,2.84433854121016,3.65280199879772,2.78158744776685,2.57582336115966,3.07562437959328,3.07492058549217,2.95968786740073,2.76795559660807,2.53205634100572,2.97183615047529,3.04589429553512,3.19734677269372,2.58445957764371,2.81776666321531
"17547719",2.88177690960768,2.87884401374513,3.46346187531259,3.36439380851136,3.34625208757445,2.86454723409139,3.60015485505005,3.00117350459477,2.51025306182152,3.33728047371018,2.57453015460794,2.84606056535019,2.7748202149005,2.7199115948116,3.27925993342808,2.63978337022336,2.47273572342349,2.51930889766781,2.93051654547556,2.87884401374513,2.87591111788259
"17242320",2.4388896449427,2.05680375121679,1.86684809564834,1.89721909112331,1.14867717933081,1.65934740037922,2.21460905160789,1.99703965854225,1.48835940020159,2.50635743962689,1.63651302789771,1.66354753293498,1.65136648126726,1.89951420602254,2.37619720595198,2.16073092512602,2.06740889039502,2.0292906990507,1.86387766609554,1.56943789857167,1.9947018802801
"17550492",2.46870343271191,2.19911931712916,2.45820961695365,1.84226427464109,2.04372030597367,1.95375479403835,2.04760614482049,1.95799790097486,2.77201375494505,2.19911931712916,1.91242774612922,2.36071550400048,1.9967269818821,2.19911931712916,2.23031454614733,1.93295053352896,2.57881593372752,2.19911931712916,2.45621485464014,2.2321948704542,2.53524211357866
"17240098",0.946914454129507,1.79623204134235,1.52488371349745,1.07527820896217,1.52788452100722,3.04274921229273,2.46798386536449,1.39580665963955,1.38312490686581,1.55413246635883,1.32000124840766,1.70242589892494,1.53937463020465,1.20306683277324,1.703972114743,2.58037146269033,1.55309135104343,1.82171963814327,1.70353533681686,1.85872534312987,2.06485917658408
"17234742",2.01732083505958,2.51940653525914,1.84321608647988,2.36150177471669,2.48078542010415,2.06907225363705,2.12800516190989,2.15056057737656,2.49321118706915,2.80044700400179,1.72382257293886,1.47479570346765,2.56153463072853,2.39045047892571,2.2144173457044,2.23409527935994,1.77764124377694,1.52966010221683,2.24720399782709,1.86478609985652,1.93992319110265
"17439326",1.29505540207805,2.01541228523466,2.14434347647643,3.32310208750142,2.25995681670727,1.65247364397332,2.01556784625301,1.59763410347637,1.55197775280019,1.75110225733091,1.93193303457999,1.67946435463852,2.10377334847478,1.78116606917494,1.99067909601724,1.59311872402117,2.13751058896509,1.78903471338627,2.51973888702127,1.97931251934534,2.11863238029775
"17421437",1.35131845953935,1.5134511330548,1.29997848904804,1.40255003865469,1.18253437938428,1.38216932573701,1.98132855639415,1.63410439947037,0.990354475670126,1.76081280359992,1.5452799397985,1.55363808554456,1.11893181633212,1.39473899409067,1.72444201701196,1.16144949518288,1.46488480250909,1.46069990158273,1.06090252537884,1.58358973711197,1.52437776105331
"17444697",1.07219456725145,1.87470391484519,1.16577690497676,1.50468624249553,1.76366136688641,0.938900267073959,1.27901637687114,1.14236398811654,1.2186323147271,1.54263538859056,0.88456335497702,1.22020989391384,1.04702686377456,1.17350388655544,1.62702827425834,1.68333614698804,1.02282119406156,1.37122518771184,0.931326297256588,0.750279045910794,1.22562877478025
